time,name,value,sigma
2,tpSTAT,0.3315,0.05
4,tpSTAT,0.8645,0.066
6,tpSTAT,0.9635,0.07
8,tpSTAT,0.9279,0.065
10,tpSTAT,0.8162,0.051
12,tpSTAT,0.7553,0.053
14,tpSTAT,0.768,0.051
16,tpSTAT,0.8416,0.04
18,tpSTAT,0.768,0.04
20,tpSTAT,0.801,0.048
25,tpSTAT,0.7832,0.052
30,tpSTAT,0.8086,0.054
40,tpSTAT,0.4888,0.055
50,tpSTAT,0.2782,0.044
60,tpSTAT,0.2553,0.071
0,tSTAT,1,0.084
2,tSTAT,0.9275,0.046
4,tSTAT,0.7923,0.038
6,tSTAT,0.7778,0.032
8,tSTAT,0.7053,0.033
10,tSTAT,0.6522,0.037
12,tSTAT,0.5894,0.039
14,tSTAT,0.5894,0.04
16,tSTAT,0.6377,0.03
18,tSTAT,0.6425,0.028
20,tSTAT,0.6908,0.03
25,tSTAT,0.6908,0.031
30,tSTAT,0.7585,0.032
40,tSTAT,0.8068,0.04
50,tSTAT,0.9275,0.046
60,tSTAT,0.971,0.082
0,pEpoR,0.01713,0.05
2,pEpoR,0.145,0.05
4,pEpoR,0.2442,0.05
6,pEpoR,0.7659,0.05
8,pEpoR,1,0.05
10,pEpoR,0.8605,0.05
12,pEpoR,0.7829,0.05
14,pEpoR,0.5705,0.05
16,pEpoR,0.6217,0.05
18,pEpoR,0.331,0.05
20,pEpoR,0.3388,0.05
25,pEpoR,0.3116,0.05
30,pEpoR,0.05062,0.05
40,pEpoR,0.02504,0.05
50,pEpoR,0.01163,0.05
60,pEpoR,0,0.05
